"@id","text","aspectTerms__aspectTerm__@from","aspectTerms__aspectTerm__@polarity","aspectTerms__aspectTerm__@term","aspectTerms__aspectTerm__@to","aspectCategories__aspectCategory__@category","aspectCategories__aspectCategory__@polarity"
"","","55","positive","kuchyně","62","anecdotes/miscellaneous","positive"
"312","Místo aby jste tu házeli špínu a vymyšleli si tu nějaké lživé informace tak máte tyto problémy řešit přímo na Restauraci","110","neutral","Restauraci","120","anecdotes/miscellaneous","neutral"
"10730","Těstoviny normální, průměrné, doma bych udělala stejné, za plnou cenu bych v životě nekoupila (očekávala bych, že budou např. domácí).","0","negative","Těstoviny","9","food","negative"
"","","65","negative","cenu","69","price","negative"
"729","Možná zkusím ještě jednou a bude-li zatím vždy vlídný pan majitel přítomen, rád s ním promluvím","58","positive","majitel","65","service","positive"
"10732","Co mě vadí,je trochu pomalejší obsluha,asi si to holky chtěli dovykládat.","31","negative","obsluha","38","service","negative"
"728","Možná jsme chytili špatného kuchaře, takže zbytečně vyhozené peníze","28","negative","kuchaře","35","food","negative"
"","","","","","","service","negative"
"10731","Docela mě to celé zamrzelo, protože jsme si tento restaurant vybrali k rodinnému posezení s rodinou, která přijela ze zahraničí.","50","negative","restaurant","60","anecdotes/miscellaneous","negative"
"726","Moje velká chyba, že jsem to neudělal","","","","","",""
"725","Moje telecí, které jsem důrazně žádal propečené bylo propečené jen z půlky a z druhé půlky bylo úplně syrové a šlachovité tak, že si s tím neporadil ani steakový nůž","5","negative","telecí","11","food","negative"
"724","Mohu všem vřele doporučit","","","","","anecdotes/miscellaneous","positive"
"723","Mohu doporučit Beňovi, Country club - cena odpovídá kvalitě, každý si vybere a hospoda má svůj styl","38","positive","cena","42","price","positive"
"","","79","positive","hospoda","86","anecdotes/miscellaneous","positive"
"10738","Kolegové si dali každý jeden tuplák, ale blonďatý číšník každému zaúčtoval 2 tupláky.","50","negative","číšník","56","service","negative"
"722","Moc rád bych doporučil,ale bohužel nemůžu","","","","","anecdotes/miscellaneous","negative"
"10737","Pizza lehce potřená kečupem, tak 5 kousky masa, trochu síra....Okraje totálně suché...Rozhodně za to bych se styděl i já, dát to někomu na talíř...","20","neutral","kečupem","27","food","negative"
"","","0","negative","Pizza","5","",""
"","","42","neutral","masa","46","",""
"","","55","neutral","síra","59","",""
"10739","Při našich cestách po republice jsme již navštívili mnoho restaurací s mnohem lepším dojmem a spokojeností.","58","neutral","restaurací","68","anecdotes/miscellaneous","negative"
"10734","Restaurace mě velmi oslovila interiérem, nyní otevřenou zahrádkou, ale hlavně velmi kvalitní kuchyní!!!","0","positive","Restaurace","10","food","positive"
"","","93","positive","kuchyní","100","ambience","positive"
"","","29","positive","interiérem","39","anecdotes/miscellaneous","positive"
"10733","Ukrajinská servírka navíc ani neumí vrátit správnou částku, i když jí to připomenete.","11","negative","servírka","19","service","negative"
"10736","Moravský vrabec -báseň !!!!","0","positive","Moravský vrabec","15","food","positive"
"10735","Je vidět, že se nejspíš změnil kuchař.","31","neutral","kuchař","37","service","neutral"
"328","Nepředstavitelné!Špatně zahraná komedie","","","","","anecdotes/miscellaneous","negative"
"329","NEVÍM, NEVÍM - NEDĚLÁ TO DOBRÉ JMÉNO TÉTO RESTAURACI","42","negative","RESTAURACI","52","anecdotes/miscellaneous","negative"
"324","Nechápala jsem co komu vadilo 5 se nás najedlona 2 vouchry","","","","","",""
"325","Nejhorsi ""restaurace"" v Olomouci a okoli... lidi nebudte hlupaci","10","negative","restaurace","20","anecdotes/miscellaneous","negative"
"709","Máme dve psy, takže po příjezdu se kamarád šel zeptat zda-li můžeme se psy k venkovnímu stolu, odpověď zněla že ano ale musíme si hned objednat a jen jedno jídlo, bylo 20:50, než jsme tam vyrazili zjistili jsme si že mají do 22:00","156","neutral","jídlo","161","food","neutral"
"321","Nebyla jsem v té chvíli jediná,kdo si na špinavé ubrusy stěžoval","49","negative","ubrusy","55","ambience","negative"
"322","NEDOPORUČUJI !!!!!!!!","","","","","anecdotes/miscellaneous","negative"
"10743","Jedli jsme již mnohem lepší vývar.","28","negative","vývar","33","food","negative"
"10742","Prostředí je zcela obyčejné, stoly natřískané na sebe, místo oken vitríny na ulici, každý z ulice vám zírá do talíře. NEDOPORUČUJI!","0","negative","Prostředí","9","ambience","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"716","Mé hodnocení? Velmi dobře zpracovaný marketing díky výše uvedenému","","","","","",""
"10741","Měli jsme tam svatbu, vše perfektně připravené, výborný oběd: šunková rolka, polévka s játr. knedlíčky a svíčková - všem moc chutnalo.","105","neutral","svíčková","113","food","positive"
"","","77","neutral","polévka s játr. knedlíčky","102","service","positive"
"","","62","neutral","šunková rolka","75","",""
"","","56","positive","oběd","60","",""
"719","Místní lidi už pochopili, že je to jen šejdíř a zloděj","","","","","service","negative"
"10740","dnes jsme navštívili restauraci Baba jaga, velká spokojenost a ty špatné recenze nechápu.","21","positive","restauraci","31","anecdotes/miscellaneous","positive"
"718","Měl jsem pošírované kačení stehno a byla to normální žvýkačka","20","negative","kačení stehno","33","food","negative"
"712","Maso je tam jako dortíček, měkoučké a ta chuť je absolutně rozdílná od jiných","0","positive","Maso","4","food","positive"
"715","Maso tuhé, omáčka špatně ochucená, obsluha nepříjemná","35","negative","obsluha","42","food","negative"
"","","0","negative","Maso","4","service","negative"
"","","11","negative","omáčka","17","",""
"714","Maso se nedalo sníst","0","negative","Maso","4","food","negative"
"10749","Pernik vypadal dobre ale asi jsme prisli pozde ve 20 h uz byl vyprodany,jeste tu maji zemlbabu ale bohuzel tak tvrdou ze jsem zavspominal na skolni jidelnu.","86","negative","zemlbabu","94","",""
"","","0","positive","Pernik","6","",""
"10748","Na závěr bohužel nedoporučuji tuto restauraci nepříjemná obsluha, jídlo průměrné a cena už taky už nic moc nenaláká.","83","negative","cena","87","food","negative"
"","","57","negative","obsluha","64","service","negative"
"","","66","negative","jídlo","71","price","negative"
"","","35","negative","restauraci","45","anecdotes/miscellaneous","negative"
"710","Manžel si dal svíčkovou, která se rozplývala na jazyku","14","positive","svíčkovou","23","food","positive"
"10747","Pivo je drsně pod míru (vyzkoušeno ve večerních hodinách).","0","negative","Pivo","4","food","negative"
"10746","Špinavé toalety, smrad.","8","negative","toalety","15","ambience","negative"
"10745","Jídlo absolutní katastrofa a servis se neumí chovat","0","negative","Jídlo","5","food","negative"
"","","29","negative","servis","35","service","negative"
"10744","Pokud mám něco pochválit, byl to bylinkový ledový čaj, ano ten byl vynikající.","33","positive","bylinkový ledový čaj","53","food","positive"
"10755","Vyborna restaurace, kdyz clovek ma chut na vice veci, ovoce, zelenina, sushi, cinske jidlo, najde si tu cokoliv za super cenu. Můžu jedine doporučit :)","54","positive","ovoce","59","food","positive"
"","","71","positive","sushi","76","price","positive"
"","","8","positive","restaurace","18","anecdotes/miscellaneous","positive"
"","","78","positive","cinske jidlo","90","",""
"","","121","positive","cenu","125","",""
"","","61","positive","zelenina","69","",""
"10756","výborné jídlo a příjemná obsluha","25","positive","obsluha","32","food","positive"
"","","8","positive","jídlo","13","service","positive"
"10757","Katastrofa!Uz rok si rikam,ze se chci prijit podivat.Dnes jsem se k tomu konecne dostala a nikdy vic!Obsluha?!Pan mi totalne zkazil naladu!Pozdravit neumi,ke stolu prijde nerekne ani buu,listek nikde..Nic..Pri moji otazce jstli muzu poprosit listek jeste prokrouti oci?!Me jako servirku tohle vazne urazi!Jsem mila,neotravuju a dokazu ocenit financne snahu a ochotu..","278","neutral","servirku","286","food","negative"
"","","187","negative","listek","193","service","negative"
"","","242","neutral","listek","248","anecdotes/miscellaneous","negative"
"","","101","negative","Obsluha","108","",""
"10758","Absolutně mě udivuje arogantní a neochotný personál.","43","negative","personál","51","service","negative"
"10759","Jídelní lístek připomíná nepřehlednou a nezáživnou slohovou práci, Piva různých druhů chutnájí většinou stejně, přespříliš vysoké ceny za nealko.","0","negative","Jídelní lístek","14","food","negative"
"","","130","negative","ceny","134","price","negative"
"","","67","negative","Piva","71","",""
"700","Když jsme tam byli na večeři loni v srpnu bylo to naprosto úžasné, ale letos v srpnu naprosté zklamání!!! Jídlo slané, o masu ani nemluvím","106","negative","Jídlo","111","",""
"","","121","negative","masu","125","",""
"704","Kemp ocení mraky turistů a návštěvníků včetně nás, je upravený a zapadá do prostředí","75","positive","prostředí","84","ambience","positive"
"","","0","positive","Kemp","4","anecdotes/miscellaneous","positive"
"701","Když se podívám na hodnocení jídel, tak doporučují vídeňskou kávu, borůvkový koláč a tatarák","67","positive","borůvkový koláč","82","food","positive"
"","","51","positive","vídeňskou kávu","65","",""
"","","29","positive","jídel","34","",""
"","","85","positive","tatarák","92","",""
"10750","S přítelem jsme restauraci navštívili včera večer.","16","neutral","restauraci","26","anecdotes/miscellaneous","neutral"
"10751","A ještě jedno velké minus tedy za jídelní lístek, je absolutně nepřehledný.","34","negative","jídelní lístek","48","food","negative"
"707","Líčka dušena na červeném víně v nás nezanechala žádný dojem ,omáčka zvláštní ale docela dobrá, maso tužší, po stranách tvrdé,nešlo vůbec ukrojit","95","negative","maso","99","food","negative"
"","","0","negative","Líčka dušena na červeném víně","29","",""
"","","61","positive","omáčka","67","",""
"10752","Doporučuji vyzkoušet.","","","","","anecdotes/miscellaneous","positive"
"10753","Škoda, že už nedělají grilovaná žebírka. Ty byly super.","","","","","",""
"705","Kvalitu jídla nemohu hodnotit, nedostal jsem se ani k předkrmu","8","neutral","jídla","13","food","neutral"
"10754","Všechno je tam špatně - jídlo, obsluha, smrad, špína. Zavřít a spálit.","31","negative","obsluha","38","food","negative"
"","","24","negative","jídlo","29","service","negative"
"","","","","","","ambience","negative"
"706","Líčka bychom nedali ani nepříteli","0","negative","Líčka","5","food","negative"
"300","Každé jídlo se má vždy reklamovat když zákazníkovi nevyhovuje ne si stěžovat až tu až všechno sníte","6","negative","jídlo","11","food","negative"
"302","Kde maji tragickou kuchyni","19","negative","kuchyni","26","food","negative"
"301","Každý organismus nesnese syrové maso,lidem co s tím mají problém doporučuji něco vařeného-třeba krupici","96","neutral","krupici","103","food","neutral"
"","","25","neutral","syrové maso","36","",""
"304","Koupila jsem si 6 voucherů a ve čtvrtek 10.5.2011 jsem ještě po telefonické objednávce tyto vouchery chtěla uplatnit","18","neutral","voucherů","26","anecdotes/miscellaneous","neutral"
"","","92","neutral","vouchery","100","",""
"307","Majitel nam do teto doby dluzi penize za reklamovane vouchery, nehodla a s nami vubec komunikovat, jiz jsme kontaktovali COI","0","negative","Majitel","7","service","negative"
"","","53","negative","vouchery","61","anecdotes/miscellaneous","negative"
"10768","Jako dezert jsem chtěl okusit dort, který nese jméno podniku- dort ""Imperial"", naurazí, nenadchne, jednalo se vláčnou buchtu s rozinkami.","62","neutral","dort","66","food","neutral"
"","","30","neutral","dort","34","",""
"","","118","neutral","buchtu s rozinkami","136","",""
"","","5","neutral","dezert","11","",""
"10769","Byli jsme tam na Valentýna - dali jsme si specialní menu,k tomu lahvinku vínka,a bylo nám dobře,po dloooouhé době fajn personál a kuchyn výtečná!","73","positive","vínka","78","food","positive"
"","","119","positive","personál","127","service","positive"
"","","52","positive","menu","56","",""
"","","130","positive","kuchyn","136","",""
"10766","Pokud nejste studenti, nedávejte si studentské menu, budete označení za podvodníky.","47","neutral","menu","51","food","neutral"
"","","","","","","service","negative"
"10767","Polévka hříbková, moc dobrá, škvarková pomazánka jako od mojí babičky, nezapomenutelná, burgery každý jiný druh, bez chyby, krásné voňavé hovězí.","29","positive","škvarková pomazánka","48","food","positive"
"","","88","positive","burgery","95","",""
"","","138","positive","hovězí","144","",""
"","","0","positive","Polévka hříbková","16","",""
"10760","A to , že jsme jako žebra dostali maso bez kosti plné blan ( pupek ) ani nezmiňuji.","20","neutral","žebra","25","food","negative"
"","","34","negative","maso","38","",""
"10761","Občerstvení jsem měl gratis,protože jsem privez pivní spec.od nas na ochutnání.","0","neutral","Občerstvení","11","food","neutral"
"","","","","","","price","positive"
"10764","Pizza Mexikana suchá na celé pizze max 2 plátky slaniny rozkrájené na kousky a trocha cibule, nic víc.","0","negative","Pizza Mexikana","14","food","negative"
"","","86","neutral","cibule","92","",""
"","","48","neutral","slaniny","55","",""
"","","29","neutral","pizze","34","",""
"10765","Naprostá kalamita.","","","","","anecdotes/miscellaneous","negative"
"10762","Pivo se nedalo vůbec pít, hlavně, že nabízí více značek.","0","negative","Pivo","4","food","negative"
"10763","Obsluha byla výborná, i když na můj vkus jsme docela dlouho čekali na objednání, ale restaurace byla téměř plná, to se dá pochopit.","85","neutral","restaurace","95","service","positive"
"","","0","positive","Obsluha","7","anecdotes/miscellaneous","neutral"
"1601","Na první objednávku nápojů jsme čekali 40 min","20","neutral","nápojů","26","food","neutral"
"","","","","","","service","negative"
"1600","Na pomalost obsluhy si mohou stěžovat pouze ti, kteří jsou odkojeni fast foody a příliš často nezavítají do normální české hospody","123","neutral","hospody","130","service","negative"
"","","12","negative","obsluhy","19","anecdotes/miscellaneous","neutral"
"1607","Nenechte se zlákat voucherem, opravdu to za ty peníze nestojí!!! Takže vřele nedoporučujeme","19","negative","voucherem","28","price","negative"
"","","47","negative","peníze","53","anecdotes/miscellaneous","negative"
"1608","Než si nás nás někdo všiml, to byla taky chvíle, obsluha tam lítala jak hadr na holi","49","positive","obsluha","56","service","positive"
"1605","Nedoporučujeme hnusný pajzl a to jídlo necháme radsi propadnout","22","negative","pajzl","27","food","negative"
"","","33","negative","jídlo","38","anecdotes/miscellaneous","negative"
"1603","Náš voucher byl na kuřecí křidýlka","4","neutral","voucher","11","food","neutral"
"","","19","neutral","kuřecí křidýlka","34","anecdotes/miscellaneous","neutral"
"10777","Jediné co mě opravdu zarazilo a zamrzelo je styl jakým je restaurace rozložená.","58","negative","restaurace","68","anecdotes/miscellaneous","negative"
"10778","V okamžiku když jsem projevil přání zaplatit kartou byl číšník okamžitě zpět i s přenosným terminálem.","56","positive","číšník","62","service","positive"
"10779","Hodně lidí žije v domnění, že hospoda je přesně taková, jak byla prezentována v televizi, není.","30","negative","hospoda","37","anecdotes/miscellaneous","negative"
"10773","Jediné mínus - přeplněnost restaurace, stoly jsou nacpané těsně u sebe,takže se neslyšíte, nebo se nemůžet bavit, aby to nevěděli všichni.","27","negative","restaurace","37","ambience","negative"
"","","","","","","anecdotes/miscellaneous","positive"
"10774","Přijdu do docela pěkně vypadající hospody se najíst, požádam tedy po chvilce o pivko a jídelní lístek.","34","positive","hospody","41","food","neutral"
"","","79","neutral","pivko","84","anecdotes/miscellaneous","positive"
"","","87","neutral","jídelní lístek","101","",""
"10775","Vodka, kterou jsme dostali, byla skoro nebezpečná, něco tak hrozného jsem nepil.","0","negative","Vodka","5","food","negative"
"10776","Víme bezpečně, že už nikdy více.","","","","","anecdotes/miscellaneous","negative"
"10770","Jen co ale zjistila, že jsme tam na voucher, tak nás vyhodila, že prý tyhle stoly jsou pro hosty bez voucherů, jinými slovy, ty nám tady nenecháš tržbu, tak tu nezacláněj...","101","neutral","voucherů","109","service","negative"
"","","36","neutral","voucher","43","anecdotes/miscellaneous","neutral"
"10771","Já nevím jak ostatní, ale já chodím do Kulaťáčku každý týden už 2 roky ! a nemůžu si stěžovat.","","","","","anecdotes/miscellaneous","positive"
"10772","Mě to prostě přijde lepší,než klobása za 60 na stojaka venku.","30","negative","klobása","37","food","negative"
"1203","U Štěpána jsem byl 4x","","","","","anecdotes/miscellaneous","neutral"
"1206","Už při příjezdu mne zaujalo,že u hospody stála v podstatě jen pražská auta","33","neutral","hospody","40","anecdotes/miscellaneous","neutral"
"10788","skvele jidlo, dobre piti, obsluha nic moc - holky by mohly byt ochotnejsi a milejsi, prostredi uchazejici - stoly na muj vkus moc blizko u sebe a drevene zidle ....na obed vyhovujici","20","positive","piti","24","food","positive"
"","","26","negative","obsluha","33","service","negative"
"","","85","neutral","prostredi","94","ambience","neutral"
"","","7","positive","jidlo","12","",""
"1202","Tuto restauraci už fakt nikdy více","5","negative","restauraci","15","anecdotes/miscellaneous","negative"
"10789","Ona měla žebra, já kachnu, pochvalovaly jsme si to.","9","positive","žebra","14","food","positive"
"","","19","positive","kachnu","25","",""
"1201","Tuto restauraci rozhodne nedoporučuji","5","negative","restauraci","15","anecdotes/miscellaneous","negative"
"10786","do této restaurace mě nalákalo studentské zvýhodněné menu.","53","neutral","menu","57","food","neutral"
"","","8","neutral","restaurace","18","anecdotes/miscellaneous","neutral"
"10787","Za tu cenu je to přesně to, co jsem očekával.","6","neutral","cenu","10","price","neutral"
"10784","Nicméně souhlas s většinou, za jejich ceny jsem už zažil nápaditější jídla a cestu přes půl republiky bych rozmýšlel.","69","neutral","jídla","74","food","neutral"
"","","38","negative","ceny","42","price","negative"
"10785","Prostědí sice hezké, ale luxusní? to ne.","0","positive","Prostědí","8","ambience","positive"
"10782","Bylo to to nejhorší, co jsem kdy jedla.","33","negative","jedla","38","food","negative"
"10783","S jídlem, servisem a rychlostí přípravy jídla jsme byly velice spokojené DOPORUČUJEME TUTO RESTAURACI !","10","positive","servisem","18","food","positive"
"","","91","positive","RESTAURACI","101","service","positive"
"","","40","positive","jídla","45","anecdotes/miscellaneous","positive"
"","","2","positive","jídlem","8","",""
"10780","Naprosto hrozné!","","","","","anecdotes/miscellaneous","negative"
"10781","Kdyz to clovek nechce, tak ma pravo to odmitnout a tudiz neplatit, ale pan majitel rikal, ze i kdyz to snite ci ne zaplatit se to musi, protoze je to soucasti kazdehi jidla.","167","neutral","jidla","172","food","neutral"
"","","115","negative","zaplatit","123","price","negative"
"1209","V hospůdce U Štěpána jsem se objevil náhodou, jako dj na svatbě","2","neutral","hospůdce","10","anecdotes/miscellaneous","neutral"
"10794","HM NEMUŽU POSOUDIT MNEL SEM ASI KLIKU NIKDO MNE ZROVNA ANI NEPOLIL A ANI NEURAZIL A JE MI UPLNĚ JEDNO KDO MNE TO PŘINESE HLAVNĚ ŽE PŘINESE O JINEJCH RESTAURACÍ TO ŘICI NEMUŽU MOŽNÁ ŽE BYCH TAM JEŠTĚ ČEKAL DO TED","149","negative","RESTAURACÍ","159","anecdotes/miscellaneous","negative"
"10793","Vídeň ze solidní kávy bez robusty.","17","positive","kávy","21","food","positive"
"10792","Naprosto to dorazila obsluha - účtuje si více, než má vyvěšeno v pasáži.","21","negative","obsluha","28","service","negative"
"10791","Rozdil prece ""jen"" 2 koruny ale nic to nemeni na tom ze chtel nas oklamat.","","","","","service","negative"
"10798","Měla jsem již zkušenost s vlažným jídlem v jiné restauraci a bez problému mi bylo vyměněno, s omluvou a úsměvem na tváři, ale u vás jsem musela zaplatit plnou cenu, ačkoli jsem se jídla jednou dotkla.","34","negative","jídlem","40","food","negative"
"","","159","negative","cenu","163","service","negative"
"","","180","negative","jídla","185","price","negative"
"10797","Když jsem číšníka (jestli se ten blonďák dá tak nazvat) poprosila, aby mi řekl, jaké mají bergery a s čim jsou, něco si napsal a bezeslova odešel a o něco později mi prostě nějaký burger donesl..","180","neutral","burger","186","food","neutral"
"","","10","negative","číšníka","17","service","negative"
"10796","Super hospůdka, luxusní jídlo.","24","positive","jídlo","29","food","positive"
"","","6","positive","hospůdka","14","anecdotes/miscellaneous","positive"
"10795","Po dlouhé době jsem zavítal do hospody, kterou jsem měl rád.","31","positive","hospody","38","anecdotes/miscellaneous","positive"
"10291","Vožralej pingl, sprosté chování.","9","negative","pingl","14","service","negative"
"10290","Měl jsem zde i sraz se spolužáky a všichni jsme byli spokojeni jak s jídlem a pitím, tak i obsluhou.","91","positive","obsluhou","99","food","positive"
"","","69","positive","jídlem","75","service","positive"
"","","78","positive","pitím","83","",""
"10799","Jedna z nejhorších obsluh, co jsem kdy zažil!","19","negative","obsluh","25","service","negative"
"10295","Samozřejmě je jasné že se snaží, aby se tam vlezlo co nejvíce lidí (jelikož je stále plná), ale aby byly stolky 10cm od sebe a lidé co přišli z jedné i druhé strany 5-10min po nás a nakukovali nám do jídla a říkali si ""jooo to vypadá dobře, to bych si dal taky"" (což se opakovalo po každém chodu) tak to zrovna příjemné není.","105","negative","stolky","111","food","positive"
"","","200","positive","jídla","205","ambience","negative"
"10294","Zkusil jsem all you can eat, jídlo smrdělo na sto honů, raději ryč, prostředí katastrofa, záchody špína.","12","negative","all you can eat","27","food","negative"
"","","29","negative","jídlo","34","ambience","negative"
"","","90","negative","záchody","97","",""
"","","68","negative","prostředí","77","",""
"10293","Kuchar posedaval mezi hosty a vypravel co ve svem mladem veku uz ma za sebou.","0","neutral","Kuchar","6","service","neutral"
"10292","Také prokoplé dveře by snesly trochu kytu.","14","negative","dveře","19","ambience","negative"
"10298","Příjemná restaurace, ve které se dá i s kamarády posedět u piva.","9","positive","restaurace","19","food","neutral"
"","","59","neutral","piva","63","anecdotes/miscellaneous","positive"
"10299","Ale abych jen nechválila,tak jediné,co bych malinko vytkla by opravdu byly ty stoly blízko sebe.","","","","","food","positive"
"","","","","","","service","positive"
"","","","","","","ambience","negative"
"","","","","","","anecdotes/miscellaneous","positive"
"1625","Řízečky vynikající","0","positive","Řízečky","7","food","positive"
"10296","Pivečko jak křen.","0","positive","Pivečko","7","food","positive"
"1628","Souhlasím s Tazmenem, když říká, že to není hospoda, ale čekárna","44","negative","hospoda","51","service","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"10297","Mají všechno možné, ale stejně si nejraději dávám čínská jídla.","50","positive","čínská jídla","62","food","positive"
"1629","Také už tam nevlezu","","","","","anecdotes/miscellaneous","negative"
"1620","Při pokusu o rezervování nám bylo sice řečeno, že až do konce platnosti voucheru je obsazeno, nicméně majitel okamžitě platnost prodloužil","72","positive","voucheru","80","service","neutral"
"","","102","neutral","majitel","109","anecdotes/miscellaneous","positive"
"10790","Pizza Topo Maschio nebyla špatná, na druhou stranu ani moc dobrá.","0","neutral","Pizza Topo Maschio","18","food","neutral"
"1621","Přišli jsme viděli jsme, citili jsme a bohužel neodešli","","","","","anecdotes/miscellaneous","negative"
"1623","Rád doporučím i přátelům","","","","","anecdotes/miscellaneous","positive"
"1617","Po 14 dnech volání to na druhé straně konečně někdo zvedl, pan majitel","63","negative","majitel","70","service","negative"
"1616","Pivo bylo výborné","0","positive","Pivo","4","food","positive"
"1615","Pajzl o kterém se zmiňuji je jedna Velká popelnice bordelu, smradu a nechutnosti","0","negative","Pajzl","5","ambience","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"1614","Osluha hrůza, neochotný, protivný pán","0","negative","Osluha","6","service","negative"
"1619","Priznavam nechodime sem na stejky (nikdy jsem stejk zde nezkousela a uprimne by me tp ani nenapadlo - na stejk jdu neakm kde se na nej specializuji, napr stejkarna nebo el bario), chodime sem na opravdu vyborne pivo a veci typu kolena zebirka kridylka - vzdy mega porce dobreho jidla","228","positive","kolena","234","food","positive"
"","","46","neutral","stejk","51","",""
"","","105","neutral","stejk","110","",""
"","","278","positive","jidla","283","",""
"","","27","neutral","stejky","33","",""
"","","264","positive","porce","269","",""
"","","211","positive","pivo","215","",""
"","","235","positive","zebirka","242","",""
"","","243","positive","kridylka","251","",""
"1613","Odpověď: Omlouváme se, máme plno, voucher propadá","34","negative","voucher","41","anecdotes/miscellaneous","negative"
"1612","Obsluha mne přesvědčila, že sem již nikdy nezavítám","0","negative","Obsluha","7","service","negative"
"10273","Pivo stredni kvality, pod miru, salat nechutny, vratili jsme ho.","32","negative","salat","37","food","negative"
"","","0","negative","Pivo","4","",""
"10272","Škoda jen,že dojem kazí W.C.a pomalý personál.","37","negative","personál","45","service","negative"
"","","24","negative","W.C.","28","ambience","negative"
"10271","Seděli jsme celkem dlouho u stolu se špinavým sklem a nádobím, až tak po deseti minutách si nás někdo všiml (restaurace téměř prázdná).","108","neutral","(restaurace","119","service","negative"
"","","28","negative","stolu","33","ambience","negative"
"","","54","negative","nádobím","61","anecdotes/miscellaneous","neutral"
"","","46","negative","sklem","51","",""
"10270","Príjemná obsluha, dobrá atmosféra a bufety s docela širokým výberom za prijatelnú cenu celkovo hodnotím pozitívne určite sa tu ešte vrátim.","82","positive","cenu","86","service","positive"
"","","9","positive","obsluha","16","ambience","positive"
"","","24","positive","atmosféra","33","price","positive"
"10278","Něco tak odporného jsem nejedla ani ve školní jídelně.","","","","","food","negative"
"10279","Po osobní návštěvě již víme, že vouchery do restaurace sklípek, která se tak již ani nejmenuje je možné jen u původního majitele, nebo reklamovat u slevového portálu.","44","negative","restaurace sklípek","62","service","neutral"
"","","120","neutral","majitele","128","anecdotes/miscellaneous","negative"
"","","32","negative","vouchery","40","",""
"1648","2) Čekání na první (ale i další) nápoje, taky dost dlouhé","33","neutral","nápoje","39","food","neutral"
"","","","","","","service","negative"
"10276","Nikdo si nás nevšímal - upozorňuji že restaurace nebyla plná ani z třetiny! Všimli jsme si také, že číšníci se neustále vraceli s jídlem na reklamaci - jednalo se vždy o burgery.","130","negative","jídlem","136","food","negative"
"","","170","negative","burgery","177","service","negative"
"","","100","negative","číšníci","107","anecdotes/miscellaneous","neutral"
"","","38","neutral","restaurace","48","",""
"10277","Škoda , krásné prostředí a viditelná velká snaha majitelů Ale !!! Z jídelního lístku měli pouze polovinu věcí, podivná byla nabídka umístění stolu k sezení obsluhou , ačkoliv byla hospoda prázdná a nikdo další již celý večer nepřišel.","68","negative","jídelního lístku","84","food","negative"
"","","180","neutral","hospoda","187","ambience","positive"
"","","15","positive","prostředí","24","anecdotes/miscellaneous","neutral"
"","","49","positive","majitelů","57","",""
"","","156","negative","obsluhou","164","",""
"10274","Vepřové koleno vynikající.","0","positive","Vepřové koleno","14","food","positive"
"1649","3) Čekání na jídlo dlouhé nebylo","13","neutral","jídlo","18","food","neutral"
"","","","","","","service","negative"
"10275","Číšník nejdříve zkasíroval a až pak se zeptal, zda bylo vše vpořádku? Na vlas či chlup, který jsem na talíři našla, jsem sice upozornila, ale už jsem neměla chuť věc dále řešit vzhledem k ""jeho přístupu"".","0","negative","Číšník","6","food","neutral"
"","","","","","","service","negative"
"1644","Zavítali jsme na voucher, jídlo celkem dobré (kuřecí a vepřové steaky), ale obsluha dost hrůza","46","positive","kuřecí a vepřové steaky","69","food","positive"
"","","76","negative","obsluha","83","service","negative"
"","","17","neutral","voucher","24","anecdotes/miscellaneous","neutral"
"","","26","positive","jídlo","31","",""
"1646","Žádné dlouhé čekání se nekonalo, pivo jsme dostali chvíli po příchodu a jídlo poté za cca 15 minut","72","neutral","jídlo","77","food","neutral"
"","","33","neutral","pivo","37","service","positive"
"1645","Ze 1200 g masa, které měl přinést, bylo cca 800 g","10","negative","masa","14","food","negative"
"1640","Z celkového počtu 800 g příloh (americké brambory, hranolky) bylo podle mě tak maximálně 500 g","32","neutral","americké brambory","49","food","negative"
"","","51","neutral","hranolky","59","",""
"","","24","negative","příloh","30","",""
"1642","ZASADNE NEDOPORUCUJU!!!","","","","","anecdotes/miscellaneous","negative"
"799","Od restaurace kde se musí člověk objednat dlouhou dobu předem bych čekal mnohem lepší pochutnání","3","negative","restaurace","13","anecdotes/miscellaneous","negative"
"10282","Hlavní chod nesplnil má očekávání.","0","negative","Hlavní chod","11","food","negative"
"798","Obsluha v pohodě, zkoušeli jsme oba číšníky","36","positive","číšníky","43","service","positive"
"","","0","positive","Obsluha","7","",""
"10281","Arogance a sužby - žadne.","","","","","service","negative"
"797","Obsluha příšerná, všude mouchy jak v kravíně, ale to bych všechno vydržel kdyby jídlo bylo skvělé","80","neutral","jídlo","85","food","neutral"
"","","0","negative","Obsluha","7","service","negative"
"10284","Celkové mé hodnocení je tedy velmi kladné","","","","","anecdotes/miscellaneous","positive"
"796","Obsluha perfektní, jen se mi zdálo, že zde máte personálu až moc","48","neutral","personálu","57","service","positive"
"","","0","positive","Obsluha","7","",""
"10283","K cenám jaké tam mají by ho měli dávat v ceně, a když už, měli by dát zakaznikovi na výběr jestli ho chce nebo ne.","2","negative","cenám","7","service","negative"
